Company's Daily Share Prices (Closing) and Highest - Lowest price of the date,,,,,,,,,,
Company Id,:  AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  ASIAN A,LLIANCE,,,,,,,,
-----------,----------,-------------,------------,-----------,-----------,---------,----------------,--------------------,------------,-------
Day,Date high,High,Date Low,Low,Closing,Trades(No.), Shares(No.),Turnover(Rs.),Last Traded,Days Traded
2007-09-19 00:00:00,2007-09-19 00:00:00,21.75,2007-09-19 00:00:00,21.75,21.75,7,5400,117450,2007-09-19 00:00:00,1
2007-09-20 00:00:00,2007-09-20 00:00:00,22,2007-09-20 00:00:00,21.75,21.75,3,2500,54500,2007-09-20 00:00:00,1
2007-09-21 00:00:00,2007-09-21 00:00:00,22,2007-09-21 00:00:00,21.75,22,4,4900,107575,2007-09-21 00:00:00,1
2007-09-24 00:00:00,2007-09-24 00:00:00,22.25,2007-09-24 00:00:00,21.75,21.75,3,1300,28425,2007-09-24 00:00:00,1
2007-09-25 00:00:00,2007-09-25 00:00:00,22,2007-09-25 00:00:00,21.75,21.75,13,11700,254975,2007-09-25 00:00:00,1
2007-09-27 00:00:00,2007-09-27 00:00:00,22.25,2007-09-27 00:00:00,21.75,21.75,14,12700,276575,2007-09-27 00:00:00,1
2007-09-28 00:00:00,2007-09-28 00:00:00,21.5,2007-09-28 00:00:00,21.5,21.5,5,1400,30100,2007-09-28 00:00:00,1
2007-10-01 00:00:00,2007-10-01 00:00:00,21.25,2007-10-01 00:00:00,21,21,9,7400,156900,2007-10-01 00:00:00,1
2007-10-02 00:00:00,2007-10-02 00:00:00,20.75,2007-10-02 00:00:00,20.75,20.75,4,2200,45650,2007-10-02 00:00:00,1
2007-10-03 00:00:00,2007-10-03 00:00:00,20.75,2007-10-03 00:00:00,20.5,20.5,13,8700,179700,2007-10-03 00:00:00,1
2007-10-04 00:00:00,2007-10-04 00:00:00,21,2007-10-04 00:00:00,20,20.75,15,16200,333450,2007-10-04 00:00:00,1
2007-10-05 00:00:00,2007-10-05 00:00:00,21.5,2007-10-05 00:00:00,21.25,21.25,8,2100,44725,2007-10-05 00:00:00,1
2007-10-08 00:00:00,2007-10-08 00:00:00,21.25,2007-10-08 00:00:00,20.5,20.5,19,6500,133925,2007-10-08 00:00:00,1
2007-10-09 00:00:00,2007-10-09 00:00:00,20.5,2007-10-09 00:00:00,20.5,20.5,8,6000,123000,2007-10-09 00:00:00,1
2007-10-10 00:00:00,2007-10-10 00:00:00,20.5,2007-10-10 00:00:00,20.25,20.5,2,1700,34800,2007-10-10 00:00:00,1
2007-10-11 00:00:00,2007-10-11 00:00:00,20.25,2007-10-11 00:00:00,20.25,20.25,2,3100,62775,2007-10-11 00:00:00,1
2007-10-12 00:00:00,2007-10-12 00:00:00,20.5,2007-10-12 00:00:00,20.25,20.5,12,3200,65025,2007-10-12 00:00:00,1
2007-10-15 00:00:00,2007-10-15 00:00:00,21,2007-10-15 00:00:00,20,20,10,5100,102475,2007-10-15 00:00:00,1
2007-10-16 00:00:00,2007-10-16 00:00:00,20.75,2007-10-16 00:00:00,20,20.75,2,1100,22150,2007-10-16 00:00:00,1
2007-10-17 00:00:00,2007-10-17 00:00:00,20.75,2007-10-17 00:00:00,20,20.25,16,4800,98775,2007-10-17 00:00:00,1
2007-10-18 00:00:00,2007-10-18 00:00:00,21.5,2007-10-18 00:00:00,20.75,21,11,3300,69350,2007-10-18 00:00:00,1
2007-10-19 00:00:00,2007-10-19 00:00:00,21.25,2007-10-19 00:00:00,20.25,20.25,26,20600,427350,2007-10-19 00:00:00,1
2007-10-22 00:00:00,2007-10-22 00:00:00,20.25,2007-10-22 00:00:00,20.25,20.25,4,1300,26325,2007-10-22 00:00:00,1
2007-10-23 00:00:00,2007-10-23 00:00:00,20,2007-10-23 00:00:00,20,20,12,12000,240000,2007-10-23 00:00:00,1
2007-10-24 00:00:00,2007-10-24 00:00:00,20.5,2007-10-24 00:00:00,20.25,20.25,5,8000,162875,2007-10-24 00:00:00,1
2007-10-26 00:00:00,2007-10-26 00:00:00,20.25,2007-10-26 00:00:00,20.25,20.25,2,500,10125,2007-10-26 00:00:00,1
2007-10-29 00:00:00,2007-10-29 00:00:00,20.75,2007-10-29 00:00:00,20,20,7,4700,94650,2007-10-29 00:00:00,1
2007-10-30 00:00:00,2007-10-30 00:00:00,20,2007-10-30 00:00:00,19.75,20,7,3100,61850,2007-10-30 00:00:00,1
2007-10-31 00:00:00,2007-10-31 00:00:00,20,2007-10-31 00:00:00,19.75,20,18,10600,211925,2007-10-31 00:00:00,1
2007-11-01 00:00:00,2007-11-01 00:00:00,21,2007-11-01 00:00:00,20.25,20.5,19,17600,361400,2007-11-01 00:00:00,1
2007-11-02 00:00:00,2007-11-02 00:00:00,20.5,2007-11-02 00:00:00,20.25,20.25,4,1000,20375,2007-11-02 00:00:00,1
2007-11-06 00:00:00,2007-11-06 00:00:00,20,2007-11-06 00:00:00,19.5,19.5,33,16100,315250,2007-11-06 00:00:00,1
2007-11-07 00:00:00,2007-11-07 00:00:00,21.5,2007-11-07 00:00:00,19.75,20.25,130,108400,2250425,2007-11-07 00:00:00,1
2007-11-09 00:00:00,2007-11-09 00:00:00,24,2007-11-09 00:00:00,21.25,22.5,366,388000,8797875,2007-11-09 00:00:00,1
2007-11-12 00:00:00,2007-11-12 00:00:00,23.75,2007-11-12 00:00:00,22.25,22.5,68,48700,1129675,2007-11-12 00:00:00,1
2007-11-13 00:00:00,2007-11-13 00:00:00,22.75,2007-11-13 00:00:00,21.5,22.5,41,31200,702125,2007-11-13 00:00:00,1
2007-11-14 00:00:00,2007-11-14 00:00:00,23,2007-11-14 00:00:00,22,22,29,16700,370075,2007-11-14 00:00:00,1
2007-11-15 00:00:00,2007-11-15 00:00:00,22.75,2007-11-15 00:00:00,22,22.5,23,14800,333425,2007-11-15 00:00:00,1
2007-11-16 00:00:00,2007-11-16 00:00:00,22.5,2007-11-16 00:00:00,21.75,21.75,18,15100,333775,2007-11-16 00:00:00,1
2007-11-19 00:00:00,2007-11-19 00:00:00,22,2007-11-19 00:00:00,21.75,21.75,3,8300,182575,2007-11-19 00:00:00,1
2007-11-20 00:00:00,2007-11-20 00:00:00,22,2007-11-20 00:00:00,21.75,21.75,6,1700,37025,2007-11-20 00:00:00,1
2007-11-21 00:00:00,2007-11-21 00:00:00,22,2007-11-21 00:00:00,21.75,21.75,2,200,4375,2007-11-21 00:00:00,1
2007-11-22 00:00:00,2007-11-22 00:00:00,21.75,2007-11-22 00:00:00,21.5,21.5,6,3100,66800,2007-11-22 00:00:00,1
2007-11-23 00:00:00,2007-11-23 00:00:00,21.25,2007-11-23 00:00:00,21,21.25,11,4800,101375,2007-11-23 00:00:00,1
2007-11-26 00:00:00,2007-11-26 00:00:00,21,2007-11-26 00:00:00,20.75,21,3,1000,20950,2007-11-26 00:00:00,1
2007-11-27 00:00:00,2007-11-27 00:00:00,21,2007-11-27 00:00:00,20.5,20.5,8,5200,106875,2007-11-27 00:00:00,1
2007-11-28 00:00:00,2007-11-28 00:00:00,21,2007-11-28 00:00:00,20.5,20.5,15,7100,146175,2007-11-28 00:00:00,1
2007-11-29 00:00:00,2007-11-29 00:00:00,20.5,2007-11-29 00:00:00,20.25,20.25,8,5200,105825,2007-11-29 00:00:00,1
2007-11-30 00:00:00,2007-11-30 00:00:00,20.5,2007-11-30 00:00:00,20.5,20.5,2,1200,24600,2007-11-30 00:00:00,1
