Daily high low and closing share prices - 2009,,,,,,,,,,
Day,Date High,Low,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
2009-09-22 00:00:00,2009-09-22 00:00:00,22.75,2009-09-22 00:00:00,20.75,21,362,603300,12957900,2009-09-22 00:00:00,1
2009-09-23 00:00:00,2009-09-23 00:00:00,21.5,2009-09-23 00:00:00,20.75,20.75,187,372100,7811150,2009-09-23 00:00:00,1
2009-09-24 00:00:00,2009-09-24 00:00:00,21,2009-09-24 00:00:00,20,20.5,233,455800,9270175,2009-09-24 00:00:00,1
2009-09-25 00:00:00,2009-09-25 00:00:00,21,2009-09-25 00:00:00,20.25,20.25,192,236100,4830075,2009-09-25 00:00:00,1
2009-09-28 00:00:00,2009-09-28 00:00:00,20.75,2009-09-28 00:00:00,20.25,20.75,79,122800,2522375,2009-09-28 00:00:00,1
2009-09-29 00:00:00,2009-09-29 00:00:00,21,2009-09-29 00:00:00,20.5,20.75,89,176500,3670175,2009-09-29 00:00:00,1
2009-09-30 00:00:00,2009-09-30 00:00:00,21.25,2009-09-30 00:00:00,20.25,20.5,122,350600,7189525,2009-09-30 00:00:00,1
2009-10-01 00:00:00,2009-10-01 00:00:00,20.75,2009-10-01 00:00:00,20.25,20.5,138,429500,8786900,2009-10-01 00:00:00,1
2009-10-02 00:00:00,2009-10-02 00:00:00,21,2009-10-02 00:00:00,20,20,176,388700,7851250,2009-10-02 00:00:00,1
2009-10-05 00:00:00,2009-10-05 00:00:00,21,2009-10-05 00:00:00,20,21,146,252600,5115775,2009-10-05 00:00:00,1
2009-10-06 00:00:00,2009-10-06 00:00:00,21,2009-10-06 00:00:00,20,20.25,84,142200,2903475,2009-10-06 00:00:00,1
2009-10-07 00:00:00,2009-10-07 00:00:00,21,2009-10-07 00:00:00,20,20,99,159400,3204875,2009-10-07 00:00:00,1
2009-10-08 00:00:00,2009-10-08 00:00:00,20.25,2009-10-08 00:00:00,19.5,19.5,139,202600,4006000,2009-10-08 00:00:00,1
2009-10-09 00:00:00,2009-10-09 00:00:00,20.25,2009-10-09 00:00:00,19.5,20,92,236600,4685625,2009-10-09 00:00:00,1
2009-10-12 00:00:00,2009-10-12 00:00:00,20.25,2009-10-12 00:00:00,19.75,20,81,116200,2328700,2009-10-12 00:00:00,1
2009-10-13 00:00:00,2009-10-13 00:00:00,20.25,2009-10-13 00:00:00,20,20,73,130900,2623700,2009-10-13 00:00:00,1
2009-10-14 00:00:00,2009-10-14 00:00:00,21,2009-10-14 00:00:00,20.25,21,213,648400,13340625,2009-10-14 00:00:00,1
2009-10-15 00:00:00,2009-10-15 00:00:00,21.25,2009-10-15 00:00:00,20.5,20.75,111,205700,4271225,2009-10-15 00:00:00,1
2009-10-16 00:00:00,2009-10-16 00:00:00,20.75,2009-10-16 00:00:00,20.25,20.25,67,63300,1292050,2009-10-16 00:00:00,1
2009-10-19 00:00:00,2009-10-19 00:00:00,20.5,2009-10-19 00:00:00,19,20,182,314500,6199175,2009-10-19 00:00:00,1
2009-10-20 00:00:00,2009-10-20 00:00:00,20,2009-10-20 00:00:00,19,19.25,121,180900,3492550,2009-10-20 00:00:00,1
2009-10-21 00:00:00,2009-10-21 00:00:00,20.25,2009-10-21 00:00:00,17.5,19.75,293,594500,11053950,2009-10-21 00:00:00,1
2009-10-22 00:00:00,2009-10-22 00:00:00,20,2009-10-22 00:00:00,19.25,19.5,50,102800,2004050,2009-10-22 00:00:00,1
2009-10-23 00:00:00,2009-10-23 00:00:00,20,2009-10-23 00:00:00,19.5,19.75,54,71400,1409200,2009-10-23 00:00:00,1
2009-10-26 00:00:00,2009-10-26 00:00:00,20.25,2009-10-26 00:00:00,19.75,19.75,49,64900,1290575,2009-10-26 00:00:00,1
2009-10-27 00:00:00,2009-10-27 00:00:00,20,2009-10-27 00:00:00,19.25,19.75,90,131900,2577200,2009-10-27 00:00:00,1
2009-10-28 00:00:00,2009-10-28 00:00:00,20,2009-10-28 00:00:00,19.5,19.75,46,93100,1852350,2009-10-28 00:00:00,1
2009-10-29 00:00:00,2009-10-29 00:00:00,19.5,2009-10-29 00:00:00,19.25,19.25,59,38700,750225,2009-10-29 00:00:00,1
2009-10-30 00:00:00,2009-10-30 00:00:00,19.75,2009-10-30 00:00:00,19.25,19.25,32,37700,728600,2009-10-30 00:00:00,1
2009-11-03 00:00:00,2009-11-03 00:00:00,19.75,2009-11-03 00:00:00,19,19.25,44,50300,970075,2009-11-03 00:00:00,1
2009-11-04 00:00:00,2009-11-04 00:00:00,19.25,2009-11-04 00:00:00,18.25,18.25,90,105700,1967825,2009-11-04 00:00:00,1
2009-11-05 00:00:00,2009-11-05 00:00:00,18.75,2009-11-05 00:00:00,17.75,18,87,97700,1753475,2009-11-05 00:00:00,1
2009-11-06 00:00:00,2009-11-06 00:00:00,19,2009-11-06 00:00:00,18,18.75,48,65300,1216525,2009-11-06 00:00:00,1
2009-11-09 00:00:00,2009-11-09 00:00:00,19,2009-11-09 00:00:00,18.25,18.25,50,44900,827450,2009-11-09 00:00:00,1
2009-11-10 00:00:00,2009-11-10 00:00:00,18.5,2009-11-10 00:00:00,17.75,17.75,55,98800,1765775,2009-11-10 00:00:00,1
