Public Holding 2020Q2 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2020-2,SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,0.1
2020-2,SWISSTEK (CEYLON) PLC,PARQ.N0000,0.2966
2020-2,TAL LANKA HOTELS PLC,TAJ.N0000,0.1724
2020-2,TALAWAKELLE TEA ESTATES PLC,TPL.N0000,0.2027
2020-2,TANGERINE BEACH HOTELS PLC,TANG.N0000,0.3627
2020-2,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,0.3305
2020-2,TEEJAY LANKA PLC,TJL.N0000,0.3888
2020-2,TESS AGRO PLC,TESS.N0000,0.41
2020-2,TESS AGRO PLC,TESS.X0000,0.8517
2020-2,THE  LIGHTHOUSE  HOTEL  PLC,LHL.N0000,0.3144
2020-2,THE AUTODROME PLC,AUTO.N0000,0.223
2020-2,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,0.3795
2020-2,THE FINANCE COMPANY PLC,TFC.N0000,0
2020-2,THE FINANCE COMPANY PLC,TFC.X0000,1
2020-2,THE FORTRESS RESORTS PLC,RHTL.N0000,0.1819
2020-2,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,0.277
2020-2,THE KINGSBURY PLC,SERV.N0000,0.3917
2020-2,THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,0.2
2020-2,THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,0.1076
2020-2,THREE ACRE FARMS PLC,TAFL.N0000,0.2778
2020-2,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,0.3916
2020-2,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,1
2020-2,TOUCHWOOD INVESTMENTS PLC,TWOD.N0000,0
2020-2,TRADE FINANCE AND INVESTMENTS PLC,TFIL.N0000,0.0035
2020-2,TRANS ASIA HOTELS PLC,TRAN.N0000,0.0768
