Public Holding 2017 Q1 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2017-1,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,100%
2017-1,TOUCHWOOD INVESTMENTS PLC,TWOD.N0000,90.65%
2017-1,TRADE FINANCE AND INVESTMENTS PLC,TFIL.N0000,.31%
2017-1,TRANS ASIA HOTELS PLC,TRAN.N0000,7.65%
2017-1,UDAPUSSELLAWA  PLANTATIONS PLC,UDPL.N0000,8.11%
2017-1,UNION ASSURANCE PLC,UAL.N0000,6.07%
2017-1,UNION BANK OF COLOMBO PLC,UBC.N0000,21.92%
2017-1,UNION CHEMICALS LANKA PLC,UCAR.N0000,25.65%
2017-1,UNITED MOTORS LANKA PLC,UML.N0000,26.82%
2017-1,VALLIBEL FINANCE PLC,VFIN.N0000,21.63%
2017-1,VALLIBEL ONE PLC,VONE.N0000,19.25%
2017-1,VALLIBEL POWER ERATHNA PLC,VPEL.N0000,40.41%
2017-1,VIDULLANKA PLC,VLL.N0000,18.08%
2017-1,WASKADUWA BEACH RESORT PLC,CITW.N0000,12.96%
2017-1,WATAWALA  PLANTATIONS  PLC,WATA.N0000,13.42%
2017-1,YORK ARCADE HOLDINGS PLC,YORK.N0000,45.51%
