Public Holding 2016 Q3 (DATA as per latest CSE records),,,
QUARTER,COMPANY NAME,SECURITY,PUBLIC FLOAT
2016-3,SUNSHINE HOLDINGS PLC,SUN.N0000,0.0626
2016-3,SWADESHI INDUSTRIAL WORKS  PLC,SWAD.N0000,0.4644
2016-3,SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,0.1
2016-3,SWISSTEK (CEYLON) PLC,PARQ.N0000,0.3238
2016-3,TAL LANKA HOTELS PLC,TAJ.N0000,0.1724
2016-3,TALAWAKELLE TEA ESTATES PLC,TPL.N0000,0.2027
2016-3,TANGERINE BEACH HOTELS PLC,TANG.N0000,0.3558
2016-3,TAPROBANE HOLDINGS PLC,TAP.N0000,0.0079
2016-3,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,0.3305
2016-3,TEEJAY LANKA PLC,TJL.N0000,0.3816
2016-3,TESS AGRO PLC,TESS.N0000,0.8297
2016-3,TESS AGRO PLC,TESS.X0000,0.8517
2016-3,THE  LIGHTHOUSE  HOTEL  PLC,LHL.N0000,0.3144
2016-3,THE AUTODROME PLC,AUTO.N0000,0.2259
2016-3,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,0.3278
2016-3,THE FINANCE COMPANY PLC,TFC.N0000,0.634
2016-3,THE FINANCE COMPANY PLC,TFC.X0000,1
2016-3,THE FORTRESS RESORTS PLC,RHTL.N0000,0.1817
2016-3,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,0.0905
2016-3,THE KINGSBURY PLC,SERV.N0000,0.3873
2016-3,THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,0.1673
2016-3,THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,0.1084
2016-3,THREE ACRE FARMS PLC,TAFL.N0000,0.2779
2016-3,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,0.2884
2016-3,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,1
2016-3,TOUCHWOOD INVESTMENTS PLC,TWOD.N0000,0.9065
2016-3,TRADE FINANCE AND INVESTMENTS PLC,TFIL.N0000,0.0031
2016-3,TRANS ASIA HOTELS PLC,TRAN.N0000,0.0765
2016-3,UDAPUSSELLAWA  PLANTATIONS PLC,UDPL.N0000,0.0811
2016-3,UNION ASSURANCE PLC,UAL.N0000,0.0607
2016-3,UNION BANK OF COLOMBO PLC,UBC.N0000,0.2194
2016-3,UNION CHEMICALS LANKA PLC,UCAR.N0000,0.2565
2016-3,UNITED MOTORS LANKA PLC,UML.N0000,0.2682
2016-3,VALLIBEL FINANCE PLC,VFIN.N0000,0.2163
2016-3,VALLIBEL ONE PLC,VONE.N0000,0.1924
2016-3,VALLIBEL POWER ERATHNA PLC,VPEL.N0000,0.4041
2016-3,VIDULLANKA PLC,VLL.N0000,0.1794
2016-3,WASKADUWA BEACH RESORT PLC,CITW.N0000,0.1296
2016-3,WATAWALA  PLANTATIONS  PLC,WATA.N0000,0.1342
2016-3,YORK ARCADE HOLDINGS PLC,YORK.N0000,0.4551
