symbol,yahoo_symbol,status_code,bar_count,first_date,last_date,has_2026_rows,invalid_ohlc_rows,latest_close,error
MAL.N0000,MAL-N0000.CM,200,104,2026-01-02,2026-05-29,True,3,57.900001525878906,
MAL.X0000,MAL-X0000.CM,200,104,2026-01-02,2026-05-29,True,12,39.0,
MARA.N0000,MARA-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,6.699999809265137,
MASK.N0000,MASK-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,79.0,
MBSL.N0000,MBSL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,12.0,
MCPL.N0000,MCPL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,54.5,
MDL.N0000,MDL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,29.299999237060547,
MEL.N0000,MEL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,7.199999809265137,
MELS.N0000,MELS-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,182.0,
MERC.N0000,MERC-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,33.852630615234375,
MFPE.N0000,MFPE-N0000.CM,404,0,,,False,0,,HTTP status 404
MGT.N0000,MGT-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,38.29999923706055,
MHDL.N0000,MHDL-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,11.399999618530273,
MRH.N0000,MRH-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,18.0,
MSL.N0000,MSL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,291.0,
MULL.N0000,MULL-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,2.5,
NAMU.N0000,NAMU-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,89.69999694824219,
NAVF.U0000,NAVF-U0000.CM,404,0,,,False,0,,HTTP status 404
NDB.N0000,NDB-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,152.10853576660156,
NEH.N0000,NEH-N0000.CM,200,104,2026-01-02,2026-05-29,True,24,6353.5,
NHL.N0000,NHL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,12.600000381469727,
NTB.N0000,NTB-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,340.0527648925781,
NTB.X0000,NTB-X0000.CM,404,0,,,False,0,,HTTP status 404
ODEL.N0000,ODEL-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,12.800000190734863,
OFEQ.N0000,OFEQ-N0000.CM,200,104,2026-01-02,2026-05-29,True,5,689.25,
ONAL.N0000,ONAL-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,43.79999923706055,
OSEA.N0000,OSEA-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,47.0,
PABC.N0000,PABC-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,60.0,
PACK.N0000,PACK-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,13.899999618530273,
PALM.N0000,PALM-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,69.80000305175781,
PAP.N0000,PAP-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,22.200000762939453,
PARA.N0000,PARA-N0000.CM,200,104,2026-01-02,2026-05-29,True,5,570.75,
PARQ.N0000,PARQ-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,88.30000305175781,
PEG.N0000,PEG-N0000.CM,200,104,2026-01-02,2026-05-29,True,3,41.0,
PHAR.N0000,PHAR-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,155.0,
PINS.N0000,PINS-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,30.100000381469727,
PKME.N0000,PKME-N0000.CM,404,0,,,False,0,,HTTP status 404
PLC.N0000,PLC-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,26.200000762939453,
PLR.N0000,PLR-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,52.20000076293945,
PMB.N0000,PMB-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,13.5,
RAL.N0000,RAL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,15.300000190734863,
RCH.N0000,RCH-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,250.0,
RCL.N0000,RCL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,51.0,
REEF.N0000,REEF-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,4.199999809265137,
RENU.N0000,RENU-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,937.25,
REXP.N0000,REXP-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,415.75,
RFL.N0000,RFL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,35.099998474121094,
RGEM.N0000,RGEM-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,199.0,
RHL.N0000,RHL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,57.0,
RHL.X0000,RHL-X0000.CM,200,104,2026-01-02,2026-05-29,True,1,43.5,
