"DAILY HIGH, LOW AND CLOSING PRICE OF 01ST JANUARY TO 31ST DECEMBER 2016",,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
EBCR,N,0,E B CREASY,2016-06-08 00:00:00,1210.1,1210.1,1327,3,10,12101
EBCR,N,0,E B CREASY,2016-06-09 00:00:00,1250,1250,1250,3,1002,1252500
EBCR,N,0,E B CREASY,2016-06-17 00:00:00,1260,1250,1250.1,3,112,140010.5
EBCR,N,0,E B CREASY,2016-06-21 00:00:00,1200.1,1200,1250.1,3,26,31200.9
EBCR,N,0,E B CREASY,2016-06-29 00:00:00,1250,1250,1250.1,1,17,21250
EBCR,N,0,E B CREASY,2016-07-07 00:00:00,1250,1250,1250.1,2,4,5000
EBCR,N,0,E B CREASY,2016-07-12 00:00:00,1300,1300,1250.1,1,1,1300
EBCR,N,0,E B CREASY,2016-07-20 00:00:00,1345.9,1340,1250.1,8,25,33640.9
EBCR,N,0,E B CREASY,2016-07-21 00:00:00,1250.1,1250.1,1250.1,2,5,6250.5
EBCR,N,0,E B CREASY,2016-07-26 00:00:00,1250.1,1250,1250.1,3,32,40000.1
EBCR,N,0,E B CREASY,2016-07-27 00:00:00,1200,1200,1250.1,1,1,1200
EBCR,N,0,E B CREASY,2016-08-01 00:00:00,1250,1250,1250.1,2,6,7500
EBCR,N,0,E B CREASY,2016-08-02 00:00:00,1250,1250,1250.1,1,1,1250
EBCR,N,0,E B CREASY,2016-08-03 00:00:00,1300,1295,1250.1,2,2,2595
EBCR,N,0,E B CREASY,2016-08-04 00:00:00,1400,1300,1250.1,5,13,18099.8
EBCR,N,0,E B CREASY,2016-08-08 00:00:00,1300,1300,1250.1,4,84,109200
EBCR,N,0,E B CREASY,2016-08-09 00:00:00,1375,1375,1250.1,1,1,1375
EBCR,N,0,E B CREASY,2016-08-10 00:00:00,1400,1375,1250.1,2,12,16525
EBCR,N,0,E B CREASY,2016-08-11 00:00:00,1375,1375,1250.1,1,70,96250
EBCR,N,0,E B CREASY,2016-08-12 00:00:00,1301,1301,1250.1,1,1,1301
EBCR,N,0,E B CREASY,2016-08-15 00:00:00,1251,1251,1250.1,1,1,1251
EBCR,N,0,E B CREASY,2016-08-22 00:00:00,1388,1388,1250.1,1,1,1388
EBCR,N,0,E B CREASY,2016-08-23 00:00:00,1275,1275,1250.1,1,19,24225
EBCR,N,0,E B CREASY,2016-08-25 00:00:00,1300,1300,1250.1,1,1,1300
EBCR,N,0,E B CREASY,2016-08-26 00:00:00,1397.9,1397.9,1250.1,1,1,1397.9
EBCR,N,0,E B CREASY,2016-08-29 00:00:00,1349,1255,1250.1,2,2,2604
EBCR,N,0,E B CREASY,2016-08-30 00:00:00,1348.9,1254.1,1250.1,7,35,45890
EBCR,N,0,E B CREASY,2016-09-08 00:00:00,1255.1,1255.1,1250.1,1,10,12551
EBCR,N,0,E B CREASY,2016-09-13 00:00:00,1335,1299,1250.1,3,27,35124
EBCR,N,0,E B CREASY,2016-09-15 00:00:00,1301,1301,1250.1,1,5,6505
EBCR,N,0,E B CREASY,2016-09-19 00:00:00,1300,1300,1250.1,1,16,20800
EBCR,N,0,E B CREASY,2016-09-20 00:00:00,1300,1300,1300,2,315,409500
EBCR,N,0,E B CREASY,2016-09-22 00:00:00,1252,1252,1300,2,21,26292
EBCR,N,0,E B CREASY,2016-09-29 00:00:00,1310,1300,1300,2,5,6530
EBCR,N,0,E B CREASY,2016-10-03 00:00:00,1340,1340,1300,1,3,4020
EBCR,N,0,E B CREASY,2016-10-06 00:00:00,1200,1200,1300,1,7,8400
EBCR,N,0,E B CREASY,2016-10-10 00:00:00,1200.9,1200.1,1300,2,20,24010
EBCR,N,0,E B CREASY,2016-10-11 00:00:00,1205.2,1205,1205,4,100,120502
EBCR,N,0,E B CREASY,2016-10-17 00:00:00,1205.1,1205,1205,2,19,22895.1
EBCR,N,0,E B CREASY,2016-10-20 00:00:00,1250,1200.1,1250,7,205,251311.4
EBCR,N,0,E B CREASY,2016-10-21 00:00:00,1250,1250,1250,1,6,7500
