Daily High Low and Closing Share Prices - 2011,,,,,,,,,,
Company Id :  AAIC,,Security Type :  N,,Sub Type :  0000,,,,,,
Short Name :  ASIAN ALLIANCE,,,,,,,,,,
Day,Date High,High,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
2011-04-18 00:00:00,2011-04-18 00:00:00,109,2011-04-18 00:00:00,108.5,108.6,8,2200,239300,2011-04-18 00:00:00,1
2011-04-19 00:00:00,2011-04-19 00:00:00,108,2011-04-19 00:00:00,106,106.8,17,11400,1217690,2011-04-19 00:00:00,1
2011-04-20 00:00:00,2011-04-20 00:00:00,107,2011-04-20 00:00:00,103,104.6,13,13500,1424020,2011-04-20 00:00:00,1
2011-04-21 00:00:00,2011-04-21 00:00:00,108.5,2011-04-21 00:00:00,101.6,103.4,13,5300,550500,2011-04-21 00:00:00,1
2011-04-25 00:00:00,2011-04-25 00:00:00,103.4,2011-04-25 00:00:00,100,100.6,18,5900,596900,2011-04-25 00:00:00,1
2011-04-27 00:00:00,2011-04-27 00:00:00,103,2011-04-27 00:00:00,100,102.7,4,3900,397800,2011-04-27 00:00:00,1
2011-04-28 00:00:00,2011-04-28 00:00:00,101.5,2011-04-28 00:00:00,100,100.1,4,1400,140180,2011-04-28 00:00:00,1
2011-04-29 00:00:00,2011-04-29 00:00:00,103.4,2011-04-29 00:00:00,99.9,101.7,4,1100,111690,2011-04-29 00:00:00,1
2011-05-03 00:00:00,2011-05-03 00:00:00,103.5,2011-05-03 00:00:00,92.1,96.8,9,2300,223370,2011-05-03 00:00:00,1
2011-05-04 00:00:00,2011-05-04 00:00:00,95,2011-05-04 00:00:00,92.6,94.4,3,1500,141540,2011-05-04 00:00:00,1
2011-05-05 00:00:00,2011-05-05 00:00:00,102.1,2011-05-05 00:00:00,98,102.1,13,2700,272850,2011-05-05 00:00:00,1
2011-05-06 00:00:00,2011-05-06 00:00:00,102.1,2011-05-06 00:00:00,92.6,93.2,9,2300,216100,2011-05-06 00:00:00,1
2011-05-09 00:00:00,2011-05-09 00:00:00,100,2011-05-09 00:00:00,93.2,95.1,16,5300,500430,2011-05-09 00:00:00,1
