Foreign Holding as at 31st December 2021,,,,
COMPANY ID,MAIN TYPE,SUB TYPE,COMPANY NAME,FOREIGN HOLDING (Volume)
UCAR,N,0000,UNION CHEMICALS LANKA PLC,334
UDPL,N,0000,UDAPUSSELLAWA  PLANTATIONS PLC,22951
UML,N,0000,UNITED MOTORS LANKA PLC,1518745
VFIN,N,0000,VALLIBEL FINANCE PLC,9206515
VLL,X,0000,VIDULLANKA PLC,3542211
VLL,N,0000,VIDULLANKA PLC,171097201
VONE,N,0000,VALLIBEL ONE PLC,4143119
VPEL,N,0000,VALLIBEL POWER ERATHNA PLC,16329554
WAPO,N,0000,GUARDIAN CAPITAL PARTNERS PLC,798734
WATA,N,0000,WATAWALA  PLANTATIONS  PLC,1843827
WIND,N,0000,WINDFORCE PLC,109910735
YORK,N,0000,YORK ARCADE HOLDINGS PLC,2116
