Dividend Records - 2010,,,,,,
Date of Announcement,Security,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price
2010-10-29 00:00:00,COMB-X-0,FIRST INTERIM DIVIDEND OF RS. 1.50 PER SHARE ,2010-11-10 00:00:00,2010-11-22 00:00:00,163.6,161.3
2010-10-29 00:00:00,COMB-N-0,FIRST INTERIM DIVIDEND OF RS. 1.50 PER SHARE ,2010-11-10 00:00:00,2010-11-22 00:00:00,275,271.9
2010-11-01 00:00:00,HHL-N-00,INTERIM DIVIDEND OF RS. 0.25 PER SHARE ,2010-11-11 00:00:00,2010-11-22 00:00:00,45.2,45.2
2010-11-10 00:00:00,JKH-N-00,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2010-11-22 00:00:00,2010-12-01 00:00:00,300,300
2010-11-18 00:00:00,JFIN-N-0,SECOND INTERIM DIVIDEND OF RS. 1.50 PER SHARE ,2010-11-30 00:00:00,2010-12-02 00:00:00,187,210
2010-11-25 00:00:00,ONAL-N-0,INTERIM DIVIDEND OF RS. 1.10 PER SHARE ,2010-12-06 00:00:00,2010-12-13 00:00:00,60,60
2010-11-26 00:00:00,UCAR-N-0,FIRST INTERIM DIVIDEND OF RS. 5.00 PER SHARE ,2010-12-07 00:00:00,2010-12-14 00:00:00,284,300
2010-11-26 00:00:00,COMB-N-0,SECOND INTERIM DIVIDEND OF RS. 1.50 PER SHARE ,2010-12-07 00:00:00,2010-12-16 00:00:00,269.9,268.1
2010-11-29 00:00:00,RICH-N-0,INTERIM DIVIDEND OF RS. 0.20 PER SHARE ,2010-12-08 00:00:00,2010-12-16 00:00:00,10.3,10.1
2010-12-01 00:00:00,MORI-N-0,INTERIM DIVIDEND OF RS. 20.00 PER SHARE ,2010-12-10 00:00:00,2010-12-22 00:00:00,1300,1600
2010-12-08 00:00:00,COMD-N-0,INTERIM DIVIDEND OF RS.2.00 PER SHARE ,2010-12-17 00:00:00,2010-12-28 00:00:00,52,56
2010-04-23 00:00:00,BALA-N-0,FIRST & FINAL DIVIDEND OF RS.1.25 PER SHARE,2010-06-30 00:00:00,2010-07-08 00:00:00,38.5,38
2010-05-12 00:00:00,CARS-N-0,FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE ,2010-06-28 00:00:00,2010-07-06 00:00:00,540.5,541
2010-05-12 00:00:00,CTC-N-00,FIRST INTERIM DIVIDEND OF RS.3.30 PER SHARE ,2010-05-21 00:00:00,2010-05-26 00:00:00,310,310
2010-05-12 00:00:00,GUAR-N-0,FIRST & FINAL DIVIDEND OF RS.9.00 PER SHARE ,2010-06-16 00:00:00,2010-06-24 00:00:00,593.25,562
2010-05-12 00:00:00,CINV-N-0,FIRST & FINAL DIVIDEND OF RS.6.70 PER SHARE ,2010-06-16 00:00:00,2010-06-24 00:00:00,321,315
2010-05-13 00:00:00,DIPD-N-0,FINAL DIVIDEND OF RS.2.25 PER SHARE ,2010-06-29 00:00:00,2010-07-06 00:00:00,123.75,125
2010-03-09 00:00:00,OSEA-N-0,FIRST & FINAL DIVIDEND OF RS.0.30 PER SHARE ,2010-05-20 00:00:00,2010-06-01 00:00:00,16.75,16.75
2010-11-08 00:00:00,HNB-X-00,INTERIM DIVIDEND OF RS. 1.50 PER SHARE ,2010-11-18 00:00:00,2010-11-24 00:00:00,208,211.8
