,,,DIVIDEND ANNOUNCEMENTS 2015,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX  PRICE
2015-07-21 00:00:00,SOY-N-0000,CONVENIENCE FOODS ,(Dividend Dates) First & Final Dividend of Rs.5.50 per share Financial Year 2014/2015, 28-AUG-15, 07-SEP-15,479.1,479.1
2015-07-24 00:00:00,CTEA-N-0000,CEYLON TEA SERVICES ,First & Final Dividend of Rs.10.00 Per Share Financial Year 2014/2015, 04-SEP-15, 14-SEP-15,677.5,677.5
2015-07-29 00:00:00,SWAD-N-0000,SWADESHI,Final Dividend of Rs.1.00 per share Financial Year 2014/2015Share Transfer Book Open, 28-SEP-15, 06-OCT-15,13500,13500
2015-07-30 00:00:00,ARPI-N-0000,ARPICO FINANCE ,Rs. 3.75 per share / First & Final Dividend Financial Year 2014/ 2015 Share Transfer Book Open , 24-AUG-15, 01-SEP-15,210,215
2015-07-30 00:00:00,LVEN-N-0000,LANKA VENTURES,Rs. 1.75 per share / Final Dividend Financial Year 2014/ 2015 Share Transfer Book Open , 28-SEP-15, 06-OCT-15,51,50
2015-08-04 00:00:00,COLO-N-0000,C M HOLDINGS ,Rs. 6.00 per share / First & Final Dividend Financial Year 2014/ 2015 , 16-SEP-15, 25-SEP-15,135.8,130
2015-08-04 00:00:00,LIOC-N-0000,LANKA IOC ,Rs. 1.00 per share / First & Final Dividend Financial Year 2014/ 2015 , 21-SEP-15, 30-SEP-15,39.9,39.3
2015-08-06 00:00:00,RAL-N-0000,RENUKA AGRI FOODS ,First & Final Dividend of Rs. 0.12 per share/Financial Year 2014/2015, 21-SEP-15, 30-SEP-15,4.3,4.4
2015-08-06 00:00:00,COCO-N-0000 &  COCO-X-0000,RENUKA FOODS ,First & Final Dividend of Rs. 0.35 per share(Voting & Non Voting)/Financial Year 2014/2015, 21-SEP-15, 30-SEP-15,25.9,27
2015-08-06 00:00:00,RHL-N-0000 &  RHL-X-0000,RENUKA HOLDINGS ,First & Final Dividend of Rs. 0.35 per share(Voting & Non Voting)/Financial Year 2014/2015, 21-SEP-15, 30-SEP-15,28.8,29
2015-08-10 00:00:00,HARI-N-0000,HARISCHANDRA ,Final Dividend of Rs. 40.00 per share/Financial Year 2014/2015, 14-SEP-15, 22-SEP-15,2300,2300
2015-08-10 00:00:00,ABAN-N-0000,ABANS ELECTRICALS ,Final Dividend of Rs. 2.50 per share/Financial Year 2014/2015, 04-SEP-15, 14-SEP-15,145.2,145.1
2015-08-11 00:00:00,SLND-N-0000,SERENDIB LAND,First & Final Dividend of Rs. 25.00 per share/Financial Year 2014/2015, 14-SEP-15, 22-SEP-15,1713,1713
2015-08-12 00:00:00,LLUB-N-0000,CHEVRON LUBRICANTS ,Second Interim Dividend of Rs.6.00 per share/Financial Year 2015, 21-AUG-15, 01-SEP-15,410,404.4
2015-08-12 00:00:00,CSEC-N-0000,DUNAMIS CAPITAL ,Final Dividend of Rs. 1.00 per share(Not Subject To Tax)/Financial Year 2014/2015, 07-SEP-15, 15-SEP-15,29,28.7
2015-08-12 00:00:00,CFVF-N-0000,FIRST CAPITAL HOLDINGS ,Final Dividend of Rs. 2.00 per share (Not subject to tax)/Financial Year 2014/15, 07-SEP-15, 15-SEP-15,38.4,35.6
2015-08-13 00:00:00,ONAL-N-0000,ON'ALLY HOLDINGS ,Final Dividend of Rs. 1.85 per share/Financial Year 2014/2015, 24-AUG-15, 02-SEP-15,64.9,64.9
2015-08-13 00:00:00,GEST-N-0000,GESTETNER,First & Final Dividend of Rs.9.00 per share/Financial Year 2014/2015/Share Transfer Book Open, 30-SEP-15, 07-OCT-15,152.8,147
2015-08-13 00:00:00,LALU-N-0000,LANKA ALUMINIUM,Final Dividend of Rs. 1.00 per share/Financial Year 2014/2015/Share Transfer Book Open, 28-SEP-15, 06-OCT-15,108,108.1
2015-08-14 00:00:00,VPEL-N-0000,VALLIBEL ONE ,Interim Dividend of Rs. 0.50 per share/Financial Year 2015/2016, 25-AUG-15, 03-SEP-15,9.6,9.1
2015-08-18 00:00:00,RENU-N-0000,RENUKA CITY HOTEL ,First & Final Dividend of Rs. 6.00 per share/Financial Year 2014/2015, 23-SEP-15, 29-SEP-15,360,348.1
2015-08-18 00:00:00,CABO-N-0000,CARGO BOAT ,First & Final Dividend of Rs. 1.50 per share/Financial Year 2014/2015, 23-SEP-15, 29-SEP-15,121.5,121.5
2015-08-19 00:00:00,AMF-N-0000,ASSOCIATED MOTOR FINANCE ,Final Dividend of Rs. 12.00 per share (Subject to 10% Dividend Tax)/Financial Year 2014/2015, 28-AUG-15, 08-SEP-15,467.7,467.7
2015-08-20 00:00:00,KHC-N-0000,KANDY HOTELS,Final Dividend of Rs. 0.20 per share/Financial Year 2014/2015/Share Transfer Book Open, 25-SEP-15, 05-OCT-15,8.5,8.3
2015-08-21 00:00:00,SHAW-N-0000,LEE HEDGES ,First & Final Dividend of Rs. 1.20 per share(would be subject to a dividend tax of 10%)/Financial Year 2014/2015, 18-SEP-15, 29-SEP-15,449.9,431.6
2015-08-21 00:00:00,ASIY-N-0000,ASIA SIYAKA COMMODITIES,First & Final Dividend of Rs. 0.30 per share/Financial Year 2014/2015, 01-SEP-15, 10-SEP-15,3.5,3.2
2015-08-24 00:00:00,AUTO-N-0000,AUTODROME,First & Final Dividend of Rs. 7.00 per share/Financial Year 2014/2015, 28-SEP-15, 30-SEP-15,810,819.9
2015-08-24 00:00:00,ELPL-N-0000,ELPITIYA,First & Final Dividend of Rs. 0.75 per share/Financial Year 2014/2015/Share Transfer Book Open, 25-SEP-15, 05-OCT-15,24.9,23.7
2015-08-24 00:00:00,EMER-N-0000,EASTERN MERCHANT,Final Dividend of Rs. 0.06 per share/Financial Year 2014/2015/Share Transfer Book Open, 28-SEP-15, 06-OCT-15,9.5,9.2
2015-08-25 00:00:00,VONE-N-0000,VALLIBEL ONE,Interim Dividend of Rs. 0.50 per share/Financial Year 2015/2016, 03-SEP-15, 14-SEP-15,24.6,24.4
2015-08-25 00:00:00,DIST-N-0000,DISTILLERIES,Final Dividend of Rs. 3.25 per share/Financial Year 2014/2015/Share Transfer Book Open, 22-SEP-15, 01-OCT-15,275,273.5
2015-08-26 00:00:00,LWL-N-0000,LANKA WALLTILES ,Interim Dividend of Rs. 2.50 per share/Financial Year 2015/2016, 04-SEP-15, 15-SEP-15,119.5,117.2
2015-08-26 00:00:00,HUNT-N-0000,HUNTERS,First & Final Dividend of Rs. 4.00 per share/Financial Year 2014/2015/Share Transfer Book Open, 01-OCT-15, 09-OCT-15,407.4,407.4
2015-08-27 00:00:00,JFIN-N-0000,FINLAY COLOMBO ,Interim Dividend of Rs. 1.50 per share/Financial Year 2015, 07-SEP-15, 16-SEP-15,274,274
2015-08-28 00:00:00,LPRT-N-0000,LAKE HOUSE PRIN.,First & Final Dividend of Rs. 1.20 per share/Financial Year 2014/2015/Share Transfer Book Open, 01-OCT-15, 09-OCT-15,120,120
2015-08-31 00:00:00,BUKI-N-0000,BUKIT DHARA ,First Interim Dividend of Rs. 3.00 per share(would not be subject to a WHT of 10%) /Financial Year 2015/2016, 09-SEP-15, 17-SEP-15,650,650
