,,,,DIVIDEND ANNOUNCEMENTS 2016,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX_PRICE,,
2016-05-26 00:00:00, SFCL-N-0000, SENKADAGALA,0.6, 3rd Interim 2015/2016, 06-JUN-16, 15-JUN-16,60,90,,
2016-05-26 00:00:00, CFI-N-0000, COLOMBO FORT INVESTMENTS,1.2, First & Final 2015/2016, 30-JUN-16, 11-JUL-16,84.9,84.9,,
2016-05-26 00:00:00, RCL-N-0000, ROYAL CERAMIC,4, Final 2015/2016, 01-JUL-16, 12-JUL-16,117.9,115.9,,
2016-05-27 00:00:00, JKL-N-0000, JOHN KEELLS,1, Rs.1.00 Per Share - FY 2015/2016 First & Final Dividend, 07-JUN-16, 16-JUN-16,74.5,70,,
2016-05-27 00:00:00, PLC-N-0000, PEOPLES LEASING,0.5, Rs.0.50 Per Share Fy 2015/2016 Final Dividend, 30-JUN-16, 11-JUL-16,18.3,17.9,,
2016-05-27 00:00:00, TSML-N-0000, TEA SMALLHOLDER,0.5, Rs.0.50 Per Share - Final Dividend. Fy 2015/2016, 07-JUN-16, 16-JUN-16,28,28,,
2016-05-30 00:00:00, UML-N-0000, UNITED MOTORS,2, Amended Dates - Rs.2.00 Per Share - Fy 2015/2016 Final Dividend, 11-JUL-16, 20-JUL-16,90,87,,
2016-05-30 00:00:00, SUN-N-0000, SUNSHINE HOLDING,1.05, Rs.1.05  Per Share - Fy 2015/2016 Final Dividend, 12-JUL-16, 21-JUL-16,50.2,50,,
2016-05-31 00:00:00, CWM-N-0000, C.W.MACKIE,3.5, Rs.3.50 Per Share - FY2015/2016. First & Final, 01-JUL-16, 12-JUL-16,60,55.4,,
2016-05-31 00:00:00, MORI-N-0000, MORISONS,10, Rs.10.00 (Voting & Non Voting) First & Final Dividend FY 2015/2016 , 11-JUL-16, 20-JUL-16,379.8,379.8,,
2016-06-01 00:00:00, LHCL-N-0000, LANKA HOSPITALS,1, Rs.1.00 Per Share - FY 2015 - Final Dividend, 10-JUN-16, 21-JUN-16,69.5,69.6,,
2016-06-01 00:00:00, LITE-N-0000, LAXAPANA,0.55, Rs.0.55 Per Share - FY 2015/2016 - First & Final, 01-JUL-16, 12-JUL-16,8.4,8,,
2016-06-01 00:00:00, VFIN-N-0000, VALLIBEL FINANCE,2.5, Rs.2.50 Per Share - Fy 2015/2016 - First & Final, 10-JUN-16, 21-JUN-16,67.5,64.3,,
2016-06-01 00:00:00, LGL-N-0000, LAUGFS GAS,1, Rs.1.00 Per Share Fy 2015/2016 First And Final - Voting & Non-Voting, 10-JUN-16, 21-JUN-16,40,39.2,,
2016-06-02 00:00:00, AGST-N-0000, AGSTAR PLC,0.2, Rs.0.20 Per Share Final Dividend -  Voting & Non-Voting Fy 2015/2016, 01-JUL-16, 12-JUL-16,4.7,4.8,,
2016-06-03 00:00:00, CTBL-N-0000, CEYLON TEA BRKRS,0.13, Rs.0.125 Per Share First & Final - Fy 2015/2016 , 14-JUN-16, 23-JUN-16,4.2,4.1,,
