Dividend Record 1995,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
PARA,Nt0000,PARAGON,1995-10-30 00:00:00,1995-11-21 00:00:00,3,,46.5,44
SMOT,Nt0000,SATHOSA MOTORS,1995-11-09 00:00:00,1995-11-21 00:00:00,15,FIRST & FINAL,61,64
ASIR,Nt0000,ASIRI,1995-11-10 00:00:00,1995-11-22 00:00:00,12.5,TRANSFER BOOKS KEPT OPEN,28.5,28.5
RICH,Nt0000,RICHARD PIERIS,1995-10-27 00:00:00,1995-11-22 00:00:00,20,FIRST & FINAL,68,72
MORI,Nt0000,MORISONS,1995-11-02 00:00:00,1995-11-24 00:00:00,30,FIRST & FINAL (8% T.F.),170,174
CFIN,Nt0000,CENTRAL FINANCE,1995-11-13 00:00:00,1995-11-27 00:00:00,15,46%  TAX FREE,240,245
LPRT,Nt0000,LAKE HOUSE PRIN.,1995-11-20 00:00:00,1995-11-30 00:00:00,5,TRANSFER  BOOKS  KEPT  OPEN,20,21
TKYO,Nt0000,TOKYO CEMENT,1995-11-13 00:00:00,1995-12-01 00:00:00,20,,80,80
GUAR,Nt0000,CEYLON GUARDIAN,1995-11-16 00:00:00,1995-12-04 00:00:00,22.5,,261.25,248
CINV,Nt0000,CEYLON INV.,1995-11-16 00:00:00,1995-12-04 00:00:00,25,,200.25,201
CARG,Nt0000,CARGILLS,1995-11-22 00:00:00,1995-12-09 00:00:00,10,TAX  FREE,110,115
CTC,Nt0000,CEYLON TOBACCO,1995-11-24 00:00:00,1995-12-11 00:00:00,12,,27,27.5
AMW,Nt0000,AMW,1995-12-01 00:00:00,1995-12-14 00:00:00,25,FIRST & FINAL,45,48
AEC,Nt0000,AEC 8/-,1995-11-21 00:00:00,1995-12-15 00:00:00,25,FIRST & FINAL,48.25,47
SINS,Nt0000,SINGER SRI LANKA,1995-11-29 00:00:00,1995-12-15 00:00:00,15,,67,68
HNB,Nt0000,HNB,1995-12-05 00:00:00,1995-12-18 00:00:00,20,TRANSFER BOOKS KEPT OPEN,520,519.75
COMB,Nt0000,COMMERCIAL BANK,1995-12-11 00:00:00,1995-12-21 00:00:00,15,TRANSFER  BOOKS  KEPT  OPEN,185.5,186
CFLB,Nt0000,FORT LAND 3/-,1995-11-29 00:00:00,1995-12-22 00:00:00,10,,14,13.75
ONAL,Nt0000,ON'ALLY,1995-12-12 00:00:00,1995-12-22 00:00:00,6,TRANSFER BOOKS KEPT OOPEN,9.5,9
MILL,Nt0000,MILLERS 8/-,1995-12-05 00:00:00,1995-12-23 00:00:00,120,60%  TAX FREE,245,247
LMF,Nt0000,LMF,1995-12-14 00:00:00,1995-12-28 00:00:00,20,TRANSFER  BOOKS  KEPT  OPEN,17.75,16
COMD,Nt0000,COMMERCIAL DEV.,1995-11-14 00:00:00,1995-12-29 00:00:00,14,INTERIM,27.5,24
ASPH,Nt0000,INDUSTRIAL ASPH.,1995-12-15 00:00:00,1995-12-29 00:00:00,5,TRANSFER  BOOKS KEPT OPEN,48,49
TAFL,Nt0000,THREE ACRE FARMS,1995-12-15 00:00:00,1995-12-29 00:00:00,15,TRANSFER  BOOKS KEPT  OPEN,45,45
