Dividend Records - 2009,,,,,,,
Date of Announcement,Security,Company Name,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price
2009-06-12 00:00:00,CTLD-N-0000,C T LAND DEVELOPMENT PLC,FINAL DIVIDEND OF RS.0.50 PER SHARE,2009-08-06 00:00:00,2009-08-14 00:00:00,17.25,17.75
2009-06-12 00:00:00,CWM-N-0000,C. W. MACKIE PLC,FIRST & FINAL DIVIDEND OF RS.0.75 PER SHARE,2009-07-22 00:00:00,2009-07-30 00:00:00,31,30
2009-06-15 00:00:00,CIND-N-0000,CENTRAL INDUSTRIES PLC,FINAL DIVIDEND OF RS.5.25 PER SHARE,2009-08-13 00:00:00,2009-08-21 00:00:00,124,115
2009-06-16 00:00:00,CARS-N-0000,CARSON CUMBERBATCH PLC,FIRST INTERIM DIVIDEND OF RS.0.50 PER SHARE,2009-06-25 00:00:00,2009-07-07 00:00:00,189.5,186.25
2009-06-18 00:00:00,CRL-N-0000,CAPITAL REACH LEASING PLC,INTERIM DIVIDEND OF RS.0.50 PER SHARE,2009-06-29 00:00:00,2009-06-30 00:00:00,13,12.25
2009-06-19 00:00:00,BUKI-N-0000,BUKIT DARAH PLC,FIRST INTERIM DIVIDEND OF RS.2.50 PER SHARE,2009-06-30 00:00:00,2009-07-10 00:00:00,1051,1100
2009-06-19 00:00:00,MAL-N-0000,MALWATTE VALLEY PLANTATION PLC,FINAL DIVIDEND OF RS.1.00 PER SHARE,2009-07-31 00:00:00,2009-08-07 00:00:00,30.75,30
2009-06-23 00:00:00,TKYO-N-0000,TOKYO CEMENT COMPANY (LANKA) PLC (N),FINAL DIVIDEND OF RS.3.00 PER SHARE ,2009-07-15 00:00:00,2009-07-23 00:00:00,150.25,150
2009-06-23 00:00:00,TKYO-X-0000,TOKYO CEMENT COMPANY (LANKA) PLC (X),FINAL DIVIDEND OF RS.0.30 PER SHARE ,2009-07-15 00:00:00,2009-07-23 00:00:00,13,13.25
2009-06-26 00:00:00,CTCE-N-0000,AVIVA N D B INSURANCE PLC,INTERIM DIVIDEND OF RS.5.50 PER SHARE,2009-07-08 00:00:00,2009-07-17 00:00:00,151,140.25
2009-06-30 00:00:00,CARE-N-0000,PRINTCARE PLC,FINAL DIVIDEND OF RS.1.00 PER SHARE,2009-09-09 00:00:00,2009-09-15 00:00:00,67,67
2009-07-02 00:00:00,KCAB-N-0000,KELANI CABLES PLC,INTERIM DIVIDEND OF RS.2.00 PER SHARE,2009-07-14 00:00:00,2009-07-23 00:00:00,117.75,117.25
