Crossings - January to December 2018,,,,,,
QUARTER,TRADE DATE,COMPANY NAME,SECURITY ID,PRICE,QUANTITY,TURNOVER
2018-4,2018-10-31 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,1059969,120836466
2018-4,2018-10-31 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,500000,57000000
2018-4,2018-10-31 00:00:00,DIALOG AXIATA PLC,DIAL.N0000,11.5,2165462,24902813
2018-4,2018-10-31 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,148,462000,68376000
2018-4,2018-10-31 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,148,153792,22761216
2018-4,2018-10-31 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,148.2,190000,28158000
2018-4,2018-10-31 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,147.2,250000,36800000
2018-4,2018-10-31 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,148,138000,20424000
2018-4,2018-10-31 00:00:00,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,105,349244,36670620
2018-4,2018-11-01 00:00:00,ACCESS ENGINEERING PLC,AEL.N0000,16,2000000,32000000
2018-4,2018-11-01 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,210,100000,21000000
2018-4,2018-11-01 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,210,359300,75453000
2018-4,2018-11-01 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,210,140700,29547000
2018-4,2018-11-01 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,210,100000,21000000
2018-4,2018-11-01 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,210,100000,21000000
2018-4,2018-11-01 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,210,200000,42000000
2018-4,2018-11-01 00:00:00,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,105,200000,21000000
2018-4,2018-11-01 00:00:00,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,105,500000,52500000
2018-4,2018-11-01 00:00:00,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,105,200000,21000000
2018-4,2018-11-02 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,123,1317480,162050040
2018-4,2018-11-02 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,123,300000,36900000
2018-4,2018-11-02 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,220,380000,83600000
2018-4,2018-11-02 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,220,120000,26400000
2018-4,2018-11-02 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,220,200000,44000000
2018-4,2018-11-02 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,220,95827,21081940
2018-4,2018-11-02 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,150,1235470,185320500
2018-4,2018-11-02 00:00:00,MELSTACORP PLC,MELS.N0000,54,3000000,162000000
2018-4,2018-11-02 00:00:00,MELSTACORP PLC,MELS.N0000,54,600000,32400000
2018-4,2018-11-02 00:00:00,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,105,300000,31500000
2018-4,2018-11-02 00:00:00,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,105,700000,73500000
2018-4,2018-11-02 00:00:00,SAMPATH BANK PLC,SAMP.N0000,235,200000,47000000
2018-4,2018-11-02 00:00:00,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,28.2,1075880,30339816
2018-4,2018-11-05 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,150,248800,37320000
2018-4,2018-11-05 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,150,189800,28470000
2018-4,2018-11-05 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,150,532300,79845000
2018-4,2018-11-05 00:00:00,MELSTACORP PLC,MELS.N0000,55,500000,27500000
2018-4,2018-11-05 00:00:00,TEEJAY LANKA PLC,TJL.N0000,34,1000000,34000000
2018-4,2018-11-07 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,220,220000,48400000
2018-4,2018-11-07 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,145,350000,50750000
2018-4,2018-11-07 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,145,300000,43500000
2018-4,2018-11-07 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,145,500000,72500000
2018-4,2018-11-07 00:00:00,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,100,2500000,250000000
2018-4,2018-11-07 00:00:00,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,100,500000,50000000
2018-4,2018-11-07 00:00:00,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,100,500000,50000000
2018-4,2018-11-07 00:00:00,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,100,1000000,100000000
2018-4,2018-11-07 00:00:00,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,100,500000,50000000
2018-4,2018-11-07 00:00:00,SAMPATH BANK PLC,SAMP.N0000,225,100000,22500000
2018-4,2018-11-07 00:00:00,TEEJAY LANKA PLC,TJL.N0000,33.5,1000000,33500000
