Date,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy,Food & Staples Retailing,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Insurance,Materials,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate Management & Development,Retailing,Software & Services,Telecommunication Services,Transportation,Utilities
2017-05-24 00:00:00,776.139410187668,988.439292245634,1034.19541023535,863.460302283387,1042.5519599849,367.13912559012,876.064488676226,794.039122190618,1144.40744196885,955.619679957846,1043.43553125102,1055.05536595097,1068.04473231503,1026.13023413988,1045.26315789474,875.293452065989,958.442480211539,,928.470929873854,686.40350877193,839.006387677478
2017-05-25 00:00:00,778.820375335121,991.879837653803,1032.62720209424,882.94764776796,1040.02847735248,368.444147898103,875.614462327651,801.961841035442,1140.00494928409,956.941304396053,1038.8803535478,1033.03321957058,1069.40172826132,1036.7354333902,1045.26315789474,873.036631394184,955.196477166246,,918.440061887557,686.40350877193,827.561678520886
2017-05-26 00:00:00,784.182305630027,986.343376017456,1027.45922808257,846.911402724032,1039.44504703488,366.177912017802,881.004348074197,795.214384159955,1140.00494928409,954.668361398795,1045.8967944861,1066.06643914116,1067.53731082084,1036.39259145092,1052.8947368421,870.767477938835,961.806653827346,,914.22192811772,686.40350877193,837.152346443716
2017-05-29 00:00:00,760.053619302949,982.10467227508,1024.61541435122,846.174930504874,1036.24099340945,364.665751001775,877.911237682311,789.054558269136,1121.11411718523,952.657895900112,1049.7342713367,1066.06643914116,1066.05207875763,1035.01682309056,1052.8947368421,866.202206025896,962.742284130574,,914.22192811772,686.40350877193,828.413313429163
2017-05-30 00:00:00,764.075067024129,979.260109151106,1022.33032933978,842.709376101829,1040.60655541475,362.899505146088,871.611300418354,773.282302905432,1159.87773383947,946.279640351075,1045.64641757912,1066.06643914116,1057.40811364049,1033.68200229717,1052.8947368421,861.577179074587,960.115288702385,,903.650993127258,686.40350877193,833.980025097328
2017-05-31 00:00:00,782.8418230563,980.141113105323,1028.55928510767,796.295801641468,1038.76722574005,363.964726514809,873.407164659547,777.269954042618,1160.68660963176,948.242715275323,1037.61747469322,1082.58304892645,1057.39443512135,1031.18208132983,1052.8947368421,868.218112802695,949.705940040737,,923.738329665722,686.40350877193,831.722513416646
2017-06-01 00:00:00,752.01072386059,984.707506065756,1030.33188112746,796.613188758677,1030.55312775547,362.336070149898,879.330495885792,777.269954042618,1140.04972575992,956.621068095761,1034.32527829808,1077.07751233136,1055.8687102991,1036.26356996901,1052.8947368421,875.508471202765,956.256592255959,,918.980128891721,686.40350877193,831.722513416646
2017-06-02 00:00:00,770.777479892761,988.731775966487,1037.26508295776,898.197809722993,1035.03720267226,361.430452452386,875.546170618858,771.697759136468,1131.12386135873,953.722816326105,1040.42676008022,1077.07751233136,1053.28363302142,1025.01819375785,1052.8947368421,877.269440406303,953.037610176229,,904.705526569717,686.40350877193,839.796639197418
2017-06-05 00:00:00,770.777479892761,983.829943023286,1041.36318091915,970.132407297658,1033.30111542799,363.59696196641,869.96566972137,781.205021750256,1133.70864519669,948.254443709907,1039.27753571215,1077.07751233136,1055.59264304379,1025.86972440549,1120.52631578947,875.760668830254,955.242440779717,,908.949260905423,686.40350877193,830.544192068946
2017-06-06 00:00:00,757.372654155496,984.469208822005,1043.16373823183,936.124330988819,1029.55819222932,364.634573260507,870.642035059981,783.198847318849,1125.17957107785,946.016172310113,1036.76321216614,1082.58304892645,1042.77295306966,1027.7935786764,1120.52631578947,873.964446666956,945.61442506225,,903.136526688963,686.40350877193,830.494626561588
2017-06-07 00:00:00,760.053619302949,984.64788484478,1049.16576428059,924.159755973455,1031.41849180132,362.802747759712,881.888907239706,773.282302905432,1117.63887243028,934.953377394781,1032.50711387448,1115.61626849703,1044.904887334,1031.58710485496,1120.52631578947,876.897426918071,944.424340806502,,904.191060131422,686.40350877193,831.900503333994
2017-06-09 00:00:00,760.053619302949,991.258915109096,1046.82764374771,921.978584098903,1031.3621206894,361.834909507142,881.798709121466,773.691584705061,1117.63887243028,933.600794792456,1032.49325438984,1115.61626849703,1048.89309842014,1037.86848925565,1120.52631578947,877.362616727977,943.679701550339,,898.918392919126,686.40350877193,828.541737839153
2017-06-12 00:00:00,764.075067024129,989.170905314348,1040.21516418321,892.432457869891,1031.9977469919,361.6098683106,880.422358357488,767.531758814242,1117.63887243028,937.707649701276,1028.48879247655,1115.61626849703,1037.45352760322,1041.15325766039,1120.52631578947,873.903179360173,951.633599686703,,897.863859476666,686.40350877193,837.877631837137
2017-06-13 00:00:00,761.394101876676,987.092398750442,1043.31810139598,886.69502750422,1028.20716159164,361.101665259025,875.328738979009,768.29773898395,1106.00734515946,933.560132064456,1023.95378398001,1121.12180509213,1049.96163366713,1034.89420407922,1118.68421052632,861.367169043094,947.183034071195,,894.185792710993,686.40350877193,833.063424062532
2017-06-14 00:00:00,758.713136729222,991.200844300957,1059.90806877548,892.459508754151,1035.4858540962,356.187311335514,879.989118174298,760.375020139126,1105.80512621139,934.134661094128,1050.2225099265,1148.64948806761,1059.56383197277,1035.9922726232,1118.68421052632,873.112906337649,948.882333924138,,888.373058494533,686.40350877193,814.368722007262
2017-06-15 00:00:00,766.756032171582,999.681057876343,1072.33711833784,851.659997022058,1032.38976520895,354.732488743834,889.876078076599,764.897718831432,1104.71495324048,930.898954370842,1047.30078006409,1165.16609785291,1062.24857653172,1048.0607585327,1118.68421052632,867.075737069151,946.051325543947,,897.863859476666,686.40350877193,832.326604314176
2017-06-16 00:00:00,770.777479892761,1003.46010645889,1079.36988999615,880.185341032374,1045.5332420756,358.19813554134,892.487398904896,764.897718831432,1113.75890851087,934.590736387642,1045.3247348072,1143.14395147252,1069.79459351473,1048.13065380191,1118.68421052632,863.398554242838,943.501900240293,,890.996591817746,686.40350877193,833.079108207736
2017-06-19 00:00:00,764.075067024129,997.12586245621,1064.27265610272,876.336031295103,1040.15895205017,355.764727201553,884.979602534509,763.862405774602,1087.91088567139,934.315321580559,1037.75407940425,1148.64948806761,1071.37056568816,1045.93522690357,1118.68421052632,859.300265373233,948.889720400645,,898.403926480831,686.40350877193,832.923181771563
2017-06-20 00:00:00,764.075067024129,1001.79298200141,1070.24972422688,885.519340106921,1024.72237529351,357.61699497709,886.265477609626,756.83159377261,1085.12854478518,937.353939001185,1029.3640936017,1159.66056125781,1078.92377772533,1048.51431908443,1118.68421052632,867.006565564751,951.910634513757,,905.785660578046,686.40350877193,830.920444015727
2017-06-21 00:00:00,764.075067024129,1007.58299296265,1075.75403716569,964.657945729265,1029.52470257839,357.736440165638,887.740904851275,760.274160955188,1094.15377945811,942.186384786379,1021.33981499974,1176.1771710431,1082.93554506796,1050.30123394208,1118.68421052632,863.228990494634,953.553794534522,,910.003794347883,686.40350877193,819.369657456362
2017-06-22 00:00:00,750.670241286863,1004.31882593693,1074.15219483847,1012.30636824042,1022.76681608139,355.699602751953,888.687940041284,763.666579611702,1085.62988024547,940.549429668373,1040.13755106182,1170.671634448,1053.02858392961,1051.83958140906,1118.68421052632,862.135334367374,955.946628773976,,910.003794347883,686.40350877193,819.369657456362
2017-06-23 00:00:00,762.734584450402,997.723064150133,1083.30004424016,959.477297184801,1025.35386732762,355.188557248471,888.225323812461,767.90493323522,1085.5722230063,939.541396810367,1027.21234359692,1170.671634448,1078.36472441677,1059.4398288524,1121.14704101467,864.765759128896,955.920129952675,,898.918392919126,686.40350877193,828.534507925054
2017-06-27 00:00:00,757.372654155496,993.25966273819,1085.3281213856,933.243474001037,1025.21157264658,355.621251096826,882.000181788413,776.484196630409,1060.85062946842,937.895391138187,1021.43285779998,1176.1771710431,1074.4320723338,1072.53891396812,1139.6140292667,865.9862069716,953.936061943196,,894.160192145124,686.40350877193,820.874665243484
2017-06-28 00:00:00,752.01072386059,991.856808495074,1085.5743756637,933.224818218788,1026.77789515344,354.513992012607,883.892314748822,767.830014118579,1061.39373759848,930.940899648748,1030.87392012651,1181.6827076382,1078.16071278712,1071.09102723147,1134.25860267361,858.82450352266,966.299850657052,,892.051125260206,686.40350877193,823.884680817727
2017-06-29 00:00:00,750.670241286863,989.83661074831,1086.80935830792,867.732917311213,1034.9559467396,356.159974559952,885.612339080939,770.682264752124,1085.38828488191,932.625304949736,1028.42542391149,1170.671634448,1075.72024605021,1067.15457495579,1134.25860267361,860.000013104366,962.191246642787,,887.292924486204,686.40350877193,829.287011818615
2017-06-30 00:00:00,769.436997319035,994.456560869194,1093.96363480454,865.435939668353,1040.41978202424,357.781841487554,893.489318516226,756.160874974375,1087.50950624235,943.826440358249,1026.73485009262,1170.671634448,1075.87765977334,1075.10388790236,1134.25860267361,859.464871471206,965.802139016832,,908.434794467128,706.140350877193,827.106567671473
2017-07-03 00:00:00,764.075067024129,991.029100054042,1091.68859532193,879.415074876304,1034.27332565924,355.581877028469,902.275054513077,753.161045203572,1087.71158909991,942.23034720858,1031.08737372419,1170.671634448,1073.30890791199,1074.81639882016,1134.25860267361,855.842724412541,966.971052187554,,887.832991490369,706.140350877193,824.849055990791
2017-07-04 00:00:00,750.670241286863,991.091277155569,1086.30263243769,877.345060370983,1035.20646231164,352.59270399585,899.493193626137,756.30106947865,1100.82832849015,946.147857200305,1028.87093652054,1170.671634448,1077.62043186125,1072.53285858303,1121.63949403472,858.306163403979,956.733936540356,,898.403926480831,706.140350877193,819.120038550481
2017-07-05 00:00:00,749.329758713137,989.016685518362,1085.23820044427,797.447786270533,1039.2313857257,351.808692672749,893.971639911067,756.028422698686,1110.16880123537,939.76434892522,1024.71079643247,1170.671634448,1080.66092594981,1072.52555747029,1121.63949403472,854.534873574704,947.185503067634,,882.560324278072,706.140350877193,822.684295988854
2017-07-06 00:00:00,769.436997319035,989.722414209842,1091.81982180981,797.856907575242,1044.35816682498,352.8004337632,898.555542678908,757.562104825917,1115.41560999966,932.075692130006,1026.137249938,1165.16609785291,1082.73832107804,1071.11243529172,1121.63949403472,856.560617900415,953.226436189408,,892.076725826075,706.140350877193,836.751234417972
